id,idade,curso,semestre,turno,experiencia_previa,distancia_km,tipo_instituicao,perfil_comportamental,feedback_entrevista,nota_prova_tecnica,churn
1,24.0,4,7.0,1,0,20.1,1,0,2,8.3,1
2,24.0,1,3.0,0,0,19.3,0,2,2,5.3,1
3,18.0,0,4.0,0,0,25.0,1,0,1,6.3,1
4,20.0,1,2.0,1,0,20.1,0,1,2,6.5,1
5,25.0,0,6.0,0,0,23.5,0,2,1,5.3,1
6,25.0,4,7.0,1,1,22.7,1,2,2,9.8,1
7,21.0,0,2.0,2,1,16.3,1,2,2,5.6,1
8,21.0,0,5.0,0,0,28.8,1,2,1,9.0,1
9,20.0,3,6.0,0,0,10.0,1,2,2,9.5,1
10,24.0,2,3.0,2,0,6.3,1,3,0,7.6,0
11,23.0,0,8.0,2,0,28.8,0,3,1,8.1,1
12,21.0,1,8.0,1,1,19.1,0,3,1,5.1,1
13,23.0,3,2.0,1,0,11.2,1,2,0,6.6,0
14,18.0,1,4.0,2,1,14.6,1,1,3,8.9,0
15,21.0,0,3.0,2,1,12.8,0,2,2,9.8,1
16,25.0,1,8.0,2,1,27.3,0,2,0,6.5,0
17,25.0,3,1.0,0,1,21.3,1,1,1,9.6,1
18,20.0,4,2.0,0,0,23.8,0,0,1,6.7,1
19,22.0,0,8.0,2,1,19.8,1,2,2,4.6,1
20,18.0,0,8.0,2,0,12.3,0,0,0,9.2,0
21,22.0,3,8.0,1,1,10.2,1,0,2,9.1,1
22,25.0,4,7.0,2,0,14.1,1,3,0,4.4,0
23,18.0,1,1.0,1,0,7.1,0,3,0,4.3,0
24,24.0,1,8.0,0,0,1.6,1,3,2,9.4,1
25,18.0,3,4.0,0,0,21.8,0,0,0,7.2,0
26,18.0,2,4.0,1,1,13.1,1,2,2,9.9,1
27,22.0,2,8.0,2,0,22.3,0,0,0,8.2,0
28,19.0,0,2.0,0,0,7.3,1,3,1,7.2,0
29,22.0,2,5.0,0,0,10.5,1,3,3,6.5,0
30,23.0,1,1.0,2,0,12.8,0,1,1,7.2,1
31,24.0,2,5.0,0,1,23.6,1,2,0,7.9,0
32,21.0,4,6.0,0,1,10.1,1,0,0,6.5,0
33,21.0,2,6.0,0,1,25.4,0,3,3,7.2,0
34,23.0,3,7.0,2,1,12.1,1,3,0,7.5,0
35,20.0,3,1.0,2,1,6.0,0,1,1,5.1,0
36,21.0,3,4.0,1,1,19.9,0,2,0,7.3,0
37,20.0,2,1.0,1,0,28.2,0,2,3,5.0,0
38,20.0,2,4.0,1,1,15.8,0,3,3,7.5,0
39,18.0,2,2.0,0,0,29.2,1,1,1,5.9,1
40,25.0,2,8.0,2,0,11.9,1,0,2,9.7,1
41,18.0,0,3.0,2,1,25.6,1,1,2,9.3,1
42,20.0,4,3.0,0,0,22.5,1,3,0,5.9,0
43,25.0,0,6.0,0,1,26.7,1,1,3,7.0,0
44,20.0,1,7.0,1,1,20.9,1,2,1,6.6,1
45,23.0,2,8.0,0,1,6.8,0,2,1,4.7,0
46,19.0,0,8.0,1,0,24.1,0,3,1,4.4,1
47,19.0,4,8.0,2,0,23.2,1,3,0,8.7,0
48,24.0,0,3.0,1,0,6.4,0,3,3,5.7,0
49,24.0,1,8.0,2,1,10.9,1,2,0,7.6,0
50,20.0,0,1.0,0,1,6.7,1,0,3,7.7,0
51,19.0,4,4.0,2,1,25.0,0,3,3,7.3,0
52,24.0,2,7.0,2,0,11.8,0,1,2,4.7,1
53,21.0,3,2.0,2,0,6.5,1,3,1,4.2,0
54,22.0,3,4.0,1,1,1.8,0,0,2,5.3,1
